Symbol,SMILES
AIB,*C(=O)C(N(*)[H])(C([H])([H])[H])C([H])([H])[H]
VAL,*C(=O)C([H])(N(*)[H])C([H])(C([H])([H])[H])C([H])([H])[H]
LEU,*C(=O)C([H])(N(*)[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H]
ALA,*C(=O)C([H])(N(*)[H])C([H])([H])[H]
THR,*C(=O)C([H])(N(*)[H])C([H])(O[H])C([H])([H])[H]
ILE,*C(=O)C([H])(N(*)[H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H]
ABU,*C(=O)C([H])(N(*)[H])C([H])([H])C([H])([H])[H]
MET,*C(=O)C([H])(N(*)[H])C([H])([H])C([H])([H])SC([H])([H])[H]
NH2,*N([H])[H]
ARG,*C(=O)C([H])(N(*)[H])C([H])([H])C([H])([H])C([H])([H])N([H])C(=N[H])N([H])[H]
ASN,*C(=O)C([H])(N(*)[H])C([H])([H])C(=O)N([H])[H]
GLN,*C(=O)C([H])(N(*)[H])C([H])([H])C([H])([H])C(=O)N([H])[H]
ASP,*C(=O)C([H])(N(*)[H])C([H])([H])C(=O)O[H]
TYR,*C(=O)C([H])(N(*)[H])C([H])([H])c1c([H])c([H])c(O[H])c([H])c1[H]
AAL,*C(=O)C([H])(N(*)[H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H]
AAP,*C(=O)C([H])(N(*)[H])C([H])([H])c1nc([H])n([H])c1[H]
HID,*C(=O)C([H])(N(*)[H])C([H])([H])c1c([H])nc([H])n1[H]
AAH,*C(=O)C([H])(N(*)[H])C([H])([H])c1c([H])n([H])c2c([H])c([H])c([H])c([H])c12
GLU,*C(=O)C([H])(N(*)[H])C([H])([H])C([H])([H])C(=O)O[H]
SER,*C(=O)C([H])(N(*)[H])C([H])([H])O[H]
CYS,*C(=O)C([H])(N(*)[H])C([H])([H])S[H]
GLY,*C(=O)C([H])([H])N(*)[H]
DAB,*C(=O)C([H])(N(*)[H])C([H])([H])C([H])([H])N([H])[H]
ORN,*C(=O)C([H])(N(*)[H])C([H])([H])C([H])([H])C([H])([H])N([H])[H]
LYS,*C(=O)C([H])(N(*)[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])[H]
PRO,*C(=O)C1([H])N(*)C([H])([H])C([H])([H])C1([H])[H]
SPG,*C(=O)C1(N(*)[H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]
DSU,*C(=O)C([H])(N(*)[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])(C(=O)O[H])N([H])[H]
APM,*C(=O)C([H])(N(*)[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)O[H]
ACA,*C(=O)C([H])(N(*)[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
AAD,*C(=O)C([H])(N(*)[H])C([H])([H])C([H])([H])C([H])([H])C(=O)O[H]
ASU,*C(=O)C([H])(N(*)[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)O[H]
PHG,*C(=O)C([H])(c1c([H])c([H])c([H])c([H])c1[H])N(*)[H]
LAC,*C(=O)C([H])(O[H])C([H])([H])[H]
HVA,*C(=O)C([H])(O[H])C([H])([H])C([H])([H])C([H])([H])[H]
HIV,*C(=O)C([H])([H])C(O[H])(C([H])([H])[H])C([H])([H])[H]
AZE,*C(=O)C1([H])N(*)C([H])([H])C1([H])[H]
BLY,*C(=O)C([H])([H])C([H])(N(*)[H])C([H])([H])C([H])([H])C([H])([H])N([H])[H]
CHA,*C(=O)C([H])(N(*)[H])C([H])([H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]
CYA,*C(=O)C([H])(N(*)[H])C([H])([H])S(=O)(=O)O[H]
TLE,*C(=O)C([H])(N(*)[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H]
AAG,*C(=O)C([H])(N(*)[H])C([H])([H])c1c([H])c([H])c([H])c2c([H])c([H])c([H])c([H])c12
MHP,*C(=O)C1([H])N(*)C([H])([H])C([H])(C([H])([H])[H])C1([H])O[H]
THI,*C(=O)C([H])(N(*)[H])C([H])([H])c1c([H])sc([H])c1[H]
AAR,*C(=O)C([H])(N(*)[H])C([H])([H])c1nc([H])sc1[H]
BUX,*C(=O)C([H])([H])C([H])(O[H])C([H])([H])N(*)[H]
HYP,*C(=O)C1([H])N(*)C([H])([H])C([H])(O[H])C1([H])[H]
HYL,*C(=O)C([H])(N(*)[H])C([H])([H])C([H])([H])C([H])(O[H])C([H])([H])N([H])[H]
CIT,*C(=O)C([H])(N(*)[H])C([H])([H])C([H])([H])C([H])([H])N([H])C(=O)N([H])[H]
NGL,*C(=O)C([H])([H])N(*)C([H])([H])c1c([H])c([H])c([H])c([H])c1[H]
EDC,*C(=O)C([H])(N(*)[H])C([H])([H])SC([H])([H])C([H])([H])S(=O)(=O)O[H]
OIC,*C(=O)C1([H])N(*)C2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])C1([H])[H]
BUA,*C(=O)C([H])([H])C([H])([H])C([H])([H])[H]
DAP,*C(=O)C([H])(N(*)[H])C([H])([H])N([H])[H]
DPM,*C(=O)C([H])(N(*)[H])C([H])([H])C([H])([H])C([H])([H])C([H])(C(=O)O[H])N([H])[H]
HCY,*C(=O)C([H])(N(*)[H])C([H])([H])C([H])([H])S[H]
HAR,*C(=O)C([H])(N(*)[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])C(=N[H])N([H])[H]
HSE,*C(=O)C([H])(N(*)[H])C([H])([H])C([H])([H])O[H]
HHS,*C(=O)C([H])(N(*)[H])C([H])([H])C([H])([H])c1c([H])nc([H])n1[H]
SAR,*C(=O)C([H])([H])N(*)C([H])([H])[H]
GLP,*C(=O)C1([H])N(*)C(=O)C([H])([H])C1([H])[H]
PIP,*C(=O)C1([H])N(*)C([H])([H])C([H])([H])C([H])([H])C1([H])[H]
PEN,*C(=O)C([H])(N(*)[H])C(S[H])(C([H])([H])[H])C([H])([H])[H]
MPA,*C(=O)C([H])([H])C([H])([H])S[H]
MBA,*C(=O)C([H])(S[H])C([H])([H])C([H])([H])[H]
MAA,*C(=O)C([H])([H])S[H]
ACE,*C(=O)C([H])([H])[H]
NME,*N([H])C([H])([H])[H]
STA,*C(=O)C([H])([H])C([H])(O[H])C([H])(N(*)[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H]
GLC,*C(=O)C([H])([H])O[H]
