SMILES,Symbol
COC(=O)O,000
COC1=CC(C(F)(F)C(=O)N2CCCC[C@H]2C(=O)O[C@@H](CCCC2=CC=CC=C2)CCCC2=CC=CN=C2)=CC(OC)=C1OC,001
CC[C@H](C)[C@H](NC(=O)[C@@H](CC(=O)NO)CC1=CC=CC=C1)C(=O)N[C@@H](CC(C)C)C(=O)O,002
CC(C)CN1C(=O)N(C)C(=O)C2=C(C3=CC=NC=C3)N(CC3=CC=CC4=C3C=CC=C4)N=C21,003
N[C@H](C(=O)O)C1=CC=CC=C1,004
N[C@@H](CC1=CC=CC=C1)[C@H](O)C(=O)O,005
CC1=CC=CC(C)=C1OCC(=O)N[C@@H](CC1=CC=CC=C1)[C@H](O)C(=O)N1CSC(C)(C)[C@H]1C(=O)N[C@H]1C2=CC=CC=C2C[C@H]1O,006
NCC1(C2=CC=CC=C2)CCCC1,007
NC(=O)[C@@H]1CC2=CC=CC=C2CN1C(=O)C[C@H](N)CC1=CC=CC=C1F,008
CN(C)C1=CC=CC(CNC[C@@H](O)[C@H](CC2=CC=CC=C2)NC(=O)[C@]2(CC3=CC=CC=C3)CN(CC3=CC=CC=C3)C(=O)N2)=C1,009
NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CO[P@](=O)(O)OC(=O)C2=CC=C(Cl)C=C2)[C@@H](O)[C@H]1O,00A
CC1(C)SCN[C@@H]1C(=O)O,00B
N[C@H](CS(=O)(=O)O)C(=O)O,00C
C[C@@H](N)C(C)(C)C,00D
O=C(O)CN1CCOCC1,00E
C[C@H](C[P@@](=O)(O)[C@@H](N)CC1=CC=CC=C1)C(=O)O,00F
C1=CN(CCOC2=CC=C3NC=CC3=C2)C=C1,00G
N[C@@H](CC1=CC=CC=C1)[P@](=O)(O)CCC(=O)O,00H
[H]/N=C(/N)C1=CC=C(C[C@@H](NC(=O)[C@H](CCC(=O)O)NS(=O)(=O)C2=CC=C3C=CC=CC3=C2)C(=O)N2CCCCC2)C=C1,00I
CNC(=O)C1=C(C)OC2=CC(OC3=CC=NC4=C3C=CC(OCCN3CCOCC3)=C4)=CC=C12,00J
NCCCC[C@H](NC(=O)[C@@H]1CCN2CC[C@@](N)(CC3=CC=CC=C3)C(=O)N12)[C@H](O)C(=O)NC1CCCCC1,00K
[H]/N=C(\N)NCCC[C@H](NC(=O)[C@@H]1CCN2CC[C@@](N)(CC3=CC=CC=C3)C(=O)N12)[C@H](O)C(=O)NCCC1=CC=CC=C1,00L
N[C@@H](CC1=CC=CC=C1)[C@@H](O)C(=O)O,00M
N=C(N)NCCC[C@H](NC(=O)[C@@H]1CCN2CC[C@@](N)(CC3=CC=CC=C3)C(=O)N12)[C@H](O)C1=NC=CS1,00N
N[C@@H](C(=O)O)C(C1=CC=CC=C1)C1=CC=CC=C1,00O
NC1CCC(CNC(=O)[C@@H]2C=CCN3C(=O)N(CCS(=O)(=O)C4=CC=CC=C4)C(=O)N23)CC1,00P
[H]/N=C(\N)NCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](N)CC1=CC=CC=C1)[C@H](O)C1=NC2=CC=CC=C2S1,00Q
NC1=NC=C(C2CCC(NC(=O)[C@@H]3C=CCN4C(=O)N(CCS(=O)(=O)C5=CC=CC=C5)C(=O)N34)CC2)N1,00R
[H]/N=C(\N)C1=CC=C(CN)C=C1,00S
NCC1=C(CN)C=C(Cl)C=C1,00T
N[C@@]1(CC2=CC=CC=C2)CCN2CC[C@@H](C(=O)O)N2C1=O,00U
NCCCC[C@H](N)[C@H](O)C(=O)O,00V
[H]/N=C(\N)NCCC[C@H](N)[C@H](O)C(=O)O,00W
N[C@H]1C2=CC=CC=C2C[C@H]1O,00X
N=C(N)NCCC[C@H](N)[C@H](O)C1=NC=CS1,00Y
OCC1=CC=CC=C1,010
NCCCCCCC(=O)O,011
COC1=CC(CN2C[C@@H](C(=O)N[C@@H](CC3=CC=CC=C3)[C@H](O)CNCC3=CC(N(C)C)=CC=C3)NC2=O)=CC=C1,012
O=C(O)OCC1=CN=CS1,013
O=C(O)C1=CN(C2=NC3=CC(Cl)=C(F)C=C3N2)N=C1,014
N[C@@H](CC1=CC=CC=C1)C[C@H](O)[C@@H](N)CC1=CC=CC=C1,015
CC1=CC=CC(C)=C1OCC(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](O)C(=O)N1CSC(C)(C)[C@H]1C(=O)N[C@H]1C2=CC=CC=C2C[C@H]1O,016
CC(C)CN(C[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21)S(=O)(=O)C1=CC=C(N)C=C1,017
O=[N+]([O-])C1=C(NCC2=CSC=C2)C=CC(C(F)(F)F)=C1,018
CC(C)C1=NC(CN(C)C(=O)O)=CS1,019
CC(C)(CO[P@@](=O)(O)O[P@@](=O)(O)OC[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCSCC(=O)C1=CC=C(Cl)C=C1,01A
N[C@H](CC1=CC=CC=C1)[C@H](O)C(=O)O,01B
N[C@@H](CC1=CNC2=CC=CC=C12)C(=O)C(F)(F)C(F)(F)F,01C
C[C@H](NC(=O)[C@H](CC(=O)N1C=CC=C1)NC(=O)[C@@H](NC(=O)CC(C)(C)C)C(C)(C)C)[C@H](O)C(=O)NCC1=CC=C(I)C=C1,01E
CCOC(=O)O,01F
NC1=NC2=C(N=C(N3CCOCC3)N2[C@@H]2O[C@H](CO[P@](=O)(O)O[P@](=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)C(=O)N1,01G
NCCCCNN,01H
O=C(O)C1=CC2=CC3=C(C=C2O1)C1=C(C=C3)OC(C(=O)O)=C1,01I
O=C(O)[C@H](N[C@H](O)N1CCOCC1)C(C1=CC=CC=C1)C1=CC=CC=C1,01J
CC(=O)N[C@H](CCCCNC(=O)CSCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)CO[P@@](=O)(O)O[P@](=O)(O)OC[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1OP(=O)(O)O)C(N)=O,01K
COCCC[C@H](N)B(O)O,01L
[H]/N=C(\N)N1CCC[C@H](C(=O)O)C1,01M
O=C(O)CN[C@H](CC1CCCCC1)C(=O)O,01N
[H]/N=C(/N)C1=CC(CN)=CN1C,01O
COC1=CC(NC2=NC=CC(NC3=CC4=CC=CC=C4N=C3)=N2)=CC=C1N1CCOCC1,01P
[H]/N=C(/N)C1=CC=C(CN)N1C,01Q
NCCNC1=CC=NC=C1,01R
CCC1=C(CC(=O)O)C(C2=CC=C(C)C=C2)=C(CN)C(CC(C)(C)C)=N1,01T
NC1=CC2=C(C=C1)N=C(N)S2,01U
NCC1=C(Cl)C=CC(Cl)=C1,01V
N[C@@H](CCNC1=C([N+](=O)[O-])C=C([N+](=O)[O-])C=C1)C(=O)O,01W
NCC1=C(OCC(=O)O)C=CC(Cl)=C1,01X
O=C(O)COC1CCCC1,01Y
O=C(O)COC1CCCCC1,01Z
O=[N+]([O-])C1=CC(C(F)(F)F)=CC=C1NCC1=CC=CO1,020
O=C(O)CNC1CCCC1,021
CC1=CC(C(N)=O)=CC=C1N1C(CCC(=O)O)=CC=C1C1=CC=C(N2C=CN=C2)C=C1,022
CNC(=O)[C@@H](NC(=O)[C@H](CCCC1=CC=CC=C1)[C@H](C)N(O)C=O)C(C)(C)C,023
O=C(O)COC1=C(C(=O)O)SC(C2=CC(NC3CCCCC3)=CC=C2)=C1Br,024
O=S(=O)(O)C1=CC=CC(C(F)(F)F)=C1,025
NCCCN1CCNCC1,026
CC1=CC(NC2=NN(C(C)C)C(=O)C3=C2C=CC(N2CCN(C)CC2)=C3)=NN1,027
CCCCCCC(O)(P(=O)(O)O)P(=O)(O)O,028
[H]/N=C(\N)NCC1CCC(C(=O)O)CC1,029
O=C(O)[C@@H]1CCN1,02A
COC1=C(C)C(C)=C(S(=O)(=O)O)C(C)=C1,02B
[H]/N=C(\N)C1=CSC(CN)=N1,02C
[H]/N=C(\N)C1=CC=C(CN)S1,02D
CO/C=C/C[C@@H](N)P(O)(O)(OC1=CC=CC=C1)OC1=CC=CC=C1,02E
COCCC[C@@H](N)P(=O)(O)O,02F
O=C(O)C[C@H](O)/C=C/CCS,02G
N[C@@H](CC1=CC=CC=C1)C[C@H](O)[C@@H](N)CC1=CC=C(C2=CC=CN=C2)C=C1,02H
NC1=C2N=C3[C@H](OP(=O)(O)O)[C@H]4O[C@H](C[C@@H]4O)N3C2=NC=N1,02I
CC1=CC(C(=O)O)=NO1,02J
NC1(C(=O)O)CCCCC1,02K
CC(C)(C)CNC(=O)C[C@H](N)C(=O)O,02L
CC1=CC=C(CN)C=C1,02N
CC(C)(C)C1=NOC(C[C@H](N)C(=O)O)=N1,02O
C[N+]1=CC=C(Cl)C=C1CNC(=O)[C@@H]1CCCN1C(=O)[C@H](N)CC1=CC=CC=C1,02P
CC1=CC=CC=C1CCC(=O)O,02Q
NCC1=CC=CC=C1Cl,02R
O=C(O)C1=CC=C(OCC2=CC=CC=C2)C=C1,02S
CC1=C(CN)SC=C1,02T
CCC(C)CCCC=CCCCCCCCC(=O)O,02U
